data_number	common_formula	chemical_formula	structure_name	tc_unit	tc_recommended	journal
100394	B1Mo1.5Ta0.5	B1Mo1.5Ta0.5	CuAl2	K	1.81	J.LESS-COMMON METALS,27(1972)281
90357	Mo2B	B1Mo2	CuAl2	K	5.86	Phys.Rev., 179(1969)452
90358	Mo2B	B1Mo2	CuAl2	K	5.86	Phys.Rev., 179(1969)452
5539	BSr2Ca3Cu4O11	B1Sr2Ca3Cu4O11	B1234	K	110.0	Physica C.,241(1995)137-141
8700	BSr2Ca3CuO11	B1Sr2Ca3Cu4O11	B1234	K	110.0	Physica C.,241(1995)137-141
90359	W2B	B1W2	CuAl2	K	3.18	Phys.Rev., 179(1969)452
90360	W2B	B1W2	CuAl2	K	3.18	Phys.Rev., 179(1969)452
109965	BeB2.75	B2.75Be1		K	0.79	Phys.Rev.B, 65(2002)180518
109964	BeB2.75	B2.75Be1		K	0.72	Phys.Rev.B, 65(2002)180518
109608	BeB2	B2.75Be1		K	0.79	cond-mat/0104063(2001)
109607	BeB2	B2.75Be1		K	0.72	cond-mat/0104063(2001)
109603	MgB2	B2Mg1	AlB2	K	39.0	JETP Lett., 73(2001)570
109604	MgB2	B2Mg1	AlB2	K	5.0	JETP Lett., 73(2001)570
109455	MgB2	B2Mg1	AlB2	K	39.0	Nature 410(2001)343
109582	MgB2	B2Mg1	AlB2	K	38.0	Nature 410(2001)343
109577	MgB2	B2Mg1	AlB2	K	40.0	Nature, 411(2001)457
109578	MgB2	B2Mg1	AlB2	K	40.0	Nature, 411(2001)457
109459	MgB2	B2Mg1	AlB2	K	39.0	Phys.Rev.B, 63(2001)224522
40070	MgB2	B2Mg1	AlB2	K	39.0	Phys.Rev.B, 63(2001)224522
109736	MgB2	B2Mg1	AlB2	K	38.2	Phys.Rev.B, 64(2001)212509
109735	MgB2	B2Mg1	AlB2	K	38.2	Phys.Rev.B, 64(2001)212509
109734	MgB2	B2Mg1	AlB2	K	38.2	Phys.Rev.B, 64(2001)212509
111137	MgB2	B2Mg1	AlB2	K	39.0	Phys.Rev.B, 66(2002)104521
111138	MgB2	B2Mg1	AlB2	K	36.0	Phys.Rev.B, 66(2002)104521
111344	MgB2	B2Mg1	AlB2	K	38.9	Phys.Rev.B, 67(2003)064505
111345	MgB2	B2Mg1	AlB2	K	38.7	Phys.Rev.B, 67(2003)064505
111489	MgB2	B2Mg1	AlB2	K	38.0	Phys.Rev.B, 68(2003)104513
111490	MgB2	B2Mg1	AlB2	K	37.0	Phys.Rev.B, 68(2003)104513
111811	MgB2	B2Mg1	AlB2	K	40.36	Phys.Rev.B, 70(2004)014519
111812	MgB2	B2Mg1	AlB2	K	39.36	Phys.Rev.B, 70(2004)014519
109326	MgB2	B2Mg1	AlB2	K	40.2	Phys.Rev.Lett., 86(2001)1877
109325	MgB2	B2Mg1	AlB2	K	39.2	Phys.Rev.Lett., 86(2001)1877
111408	MgB2	B2Mg1	AlB2	K	39.0	Physica B, 328(2003)23
111652	MgB2	B2Mg1	AlB2	K	39.0	Physica B, 328(2003)23
109925	MgB2	B2Mg1	AlB2	K	38.0	Physica C, 370(2002)6
109924	MgB2	B2Mg1	AlB2	K	38.0	Physica C, 370(2002)6
113309	MgB2	B2Mg1	AlB2	K	38.81	Physica C, 407(2004)31
93309	MgB2	B2Mg1	AlB2	K	38.81	Physica C, 407(2004)31
90233	MgB2	B2Mg1	AlB2	K	38.7	Physica C, 420(2005)83
90238	MgB2	B2Mg1	AlB2	K	30.4	Physica C, 420(2005)83
90239	MgB2	B2Mg1	AlB2	K	22.8	Physica C, 420(2005)83
