seed,tercile,d_median,coverage,n
0,0,0.5956,0.6336,868
0,1,1.1739,0.5848,867
0,2,1.7686,0.4005,869
1,0,0.4582,0.656,811
1,1,0.9575,0.6615,833
1,2,1.7974,0.4642,823
2,0,0.5636,0.6789,897
2,1,1.0031,0.7237,894
2,2,1.4741,0.5295,899
3,0,0.3599,0.6231,528
3,1,0.7924,0.6471,527
3,2,1.7719,0.4905,528
4,0,0.5718,0.6251,907
4,1,1.038,0.5612,907
4,2,1.7079,0.4201,907
