regime,method,seed,coverage,width_mean,width_median,mae,n_train,n_calib,n_test
iid,split-conformal,0,0.9086280814576635,24.10962677001953,24.109628677368164,4.266812291900683,6095,2613,3732
iid,normalized-conformal,0,0.9032690246516613,21.55575942993164,18.820045471191406,4.266812291900683,6095,2613,3732
iid,mondrian-conformal,0,0.9011254019292605,23.24924659729004,21.611064910888672,4.266812291900683,6095,2613,3732
iid,split-conformal,1,0.8928188638799571,22.85440444946289,22.854408264160156,4.439296269252923,6095,2613,3732
iid,normalized-conformal,1,0.8941586280814576,20.29491424560547,17.628877639770508,4.439296269252923,6095,2613,3732
iid,mondrian-conformal,1,0.8933547695605574,22.84652328491211,20.726673126220703,4.439296269252923,6095,2613,3732
iid,split-conformal,2,0.897642015005359,23.351499557495117,23.35150146484375,4.390385317162318,6095,2613,3732
iid,normalized-conformal,2,0.8965702036441586,21.833267211914062,19.211469650268555,4.390385317162318,6095,2613,3732
iid,mondrian-conformal,2,0.894962486602358,22.470901489257812,18.42950439453125,4.390385317162318,6095,2613,3732
iid,split-conformal,3,0.9021972132904609,23.706026077270508,23.706029891967773,4.306013921790721,6095,2613,3732
iid,normalized-conformal,3,0.9021972132904609,21.388717651367188,18.572921752929688,4.306013921790721,6095,2613,3732
iid,mondrian-conformal,3,0.90005359056806,24.253755569458008,18.483116149902344,4.306013921790721,6095,2613,3732
iid,split-conformal,4,0.8968381564844587,23.86888313293457,23.868881225585938,4.452795611294599,6095,2613,3732
iid,normalized-conformal,4,0.8952304394426581,21.894643783569336,19.102235794067383,4.452795611294599,6095,2613,3732
iid,mondrian-conformal,4,0.8960342979635584,23.739303588867188,22.229324340820312,4.452795611294599,6095,2613,3732
shift,split-conformal,0,0.8819497334348819,36.082252502441406,36.082252502441406,7.22164359700891,5916,2585,3939
shift,normalized-conformal,0,0.8895658796648895,33.519676208496094,30.601299285888672,7.22164359700891,5916,2585,3939
shift,mondrian-conformal,0,0.8931200812388931,36.712310791015625,31.82375717163086,7.22164359700891,5916,2585,3939
shift,split-conformal,1,0.9234763596611096,38.82330322265625,38.82330322265625,6.0605303059879,6115,2666,3659
shift,normalized-conformal,1,0.9098114238863078,33.91428756713867,30.296981811523438,6.0605303059879,6115,2666,3659
shift,mondrian-conformal,1,0.9182836840666849,36.50196838378906,29.390037536621094,6.0605303059879,6115,2666,3659
shift,split-conformal,2,0.8988447449985911,32.9071044921875,32.907100677490234,6.12909771876307,6213,2678,3549
shift,normalized-conformal,2,0.8982812059735137,30.26750946044922,26.736541748046875,6.12909771876307,6213,2678,3549
shift,mondrian-conformal,2,0.8923640462102,32.33738708496094,26.5272216796875,6.12909771876307,6213,2678,3549
shift,split-conformal,3,0.882567264573991,32.16730880737305,32.16731262207031,6.430555484291593,6367,2505,3568
shift,normalized-conformal,3,0.8769618834080718,28.484642028808594,25.767532348632812,6.430555484291593,6367,2505,3568
shift,mondrian-conformal,3,0.8848094170403588,32.018310546875,27.251750946044922,6.430555484291593,6367,2505,3568
shift,split-conformal,4,0.8680089485458613,33.05621337890625,33.05621337890625,7.180490156222586,5896,2521,4023
shift,normalized-conformal,4,0.891623166790952,33.34242630004883,31.665393829345703,7.180490156222586,5896,2521,4023
shift,mondrian-conformal,4,0.8692518021377081,32.63510513305664,34.81061935424805,7.180490156222586,5896,2521,4023
