regime,method,seed,mae,coverage,width_mean,coverage_hiTc,n_hiTc,n_families_eval,fam_cov_p10,frac_families_undercovered
iid,split,0,4.267,0.9086280814576635,24.10962677001953,0.75,376,146,0.6666666666666666,0.1917808219178082
iid,normalized,0,4.267,0.9032690246516613,21.55575942993164,0.7632978723404256,376,146,0.625,0.1780821917808219
iid,mondrian,0,4.267,0.9011254019292605,23.24924659729004,0.7473404255319149,376,146,0.6833333333333333,0.1780821917808219
iid,split,1,4.439,0.8928188638799571,22.85440444946289,0.6861702127659575,376,160,0.5642857142857143,0.25
iid,normalized,1,4.439,0.8941586280814576,20.29491424560547,0.7021276595744681,376,160,0.6,0.21875
iid,mondrian,1,4.439,0.8933547695605574,22.84652328491211,0.6861702127659575,376,160,0.59,0.2125
iid,split,2,4.39,0.897642015005359,23.351499557495117,0.75,392,149,0.6,0.24161073825503357
iid,normalized,2,4.39,0.8965702036441586,21.833267211914062,0.7627551020408163,392,149,0.6564102564102564,0.19463087248322147
iid,mondrian,2,4.39,0.894962486602358,22.470901489257812,0.7653061224489796,392,149,0.6533333333333333,0.16778523489932887
iid,split,3,4.306,0.9021972132904609,23.706026077270508,0.736318407960199,402,143,0.7142857142857143,0.1888111888111888
iid,normalized,3,4.306,0.9021972132904609,21.388717651367188,0.7338308457711443,402,143,0.8,0.0979020979020979
iid,mondrian,3,4.306,0.90005359056806,24.253755569458008,0.7711442786069652,402,143,0.8,0.07692307692307693
iid,split,4,4.453,0.8968381564844587,23.86888313293457,0.6935064935064935,385,145,0.5558441558441558,0.2206896551724138
iid,normalized,4,4.453,0.8952304394426581,21.894643783569336,0.6987012987012987,385,145,0.6044444444444445,0.1793103448275862
iid,mondrian,4,4.453,0.8960342979635584,23.739303588867188,0.7090909090909091,385,145,0.61,0.1724137931034483
shift,split,0,7.222,0.8819497334348819,36.082252502441406,0.627906976744186,387,236,0.6,0.1694915254237288
shift,normalized,0,7.222,0.8895658796648895,33.519676208496094,0.6459948320413437,387,236,0.6339285714285714,0.18220338983050846
shift,mondrian,0,7.222,0.8931200812388931,36.712310791015625,0.6873385012919897,387,236,0.6735294117647059,0.15254237288135594
shift,split,1,6.061,0.9234763596611096,38.82330322265625,0.735191637630662,287,225,0.7726495726495727,0.1111111111111111
shift,normalized,1,6.061,0.9098114238863078,33.91428756713867,0.7630662020905923,287,225,0.6823529411764707,0.11555555555555555
shift,mondrian,1,6.061,0.9182836840666849,36.50196838378906,0.7491289198606271,287,225,0.7142857142857143,0.13333333333333333
shift,split,2,6.129,0.8988447449985911,32.9071044921875,0.6633663366336634,303,209,0.6203703703703703,0.1722488038277512
shift,normalized,2,6.129,0.8982812059735137,30.26750946044922,0.6996699669966997,303,209,0.6,0.1674641148325359
shift,mondrian,2,6.129,0.8923640462102,32.33738708496094,0.66996699669967,303,209,0.5942857142857143,0.19138755980861244
shift,split,3,6.431,0.882567264573991,32.16730880737305,0.6237623762376238,404,212,0.5566666666666668,0.18867924528301888
shift,normalized,3,6.431,0.8769618834080718,28.484642028808594,0.6336633663366337,404,212,0.4357142857142858,0.20754716981132076
shift,mondrian,3,6.431,0.8848094170403588,32.018310546875,0.6584158415841584,404,212,0.5038461538461539,0.20754716981132076
shift,split,4,7.18,0.8680089485458613,33.05621337890625,0.6559139784946236,372,233,0.5037037037037038,0.19742489270386265
shift,normalized,4,7.18,0.891623166790952,33.34242630004883,0.739247311827957,372,233,0.6173076923076923,0.1630901287553648
shift,mondrian,4,7.18,0.8692518021377081,32.63510513305664,0.6693548387096774,372,233,0.5215555555555556,0.19313304721030042
deploy,split,0,7.016,0.8131505458238132,23.53860092163086,0.4470284237726098,387,236,0.42327365728900257,0.2584745762711864
deploy,normalized,0,7.016,0.8164508758568164,21.325895309448242,0.5167958656330749,387,236,0.41428571428571426,0.2627118644067797
deploy,mondrian,0,7.016,0.8164508758568164,23.34650993347168,0.4702842377260982,387,236,0.41428571428571426,0.2711864406779661
deploy,split,1,5.795,0.8515987974856518,22.99543571472168,0.554006968641115,287,225,0.5,0.2222222222222222
deploy,normalized,1,5.795,0.845586225744739,19.985624313354492,0.5749128919860628,287,225,0.5,0.24444444444444444
deploy,mondrian,1,5.795,0.8469527193222192,22.37512969970703,0.5644599303135889,287,225,0.42857142857142855,0.2577777777777778
deploy,split,2,5.898,0.8441814595660749,22.84134864807129,0.5775577557755776,303,209,0.24000000000000005,0.2727272727272727
deploy,normalized,2,5.898,0.8385460693153001,19.02717399597168,0.5973597359735974,303,209,0.32666666666666666,0.27751196172248804
deploy,mondrian,2,5.898,0.8399549168779938,22.053733825683594,0.5973597359735974,303,209,0.2,0.2822966507177033
deploy,split,3,6.338,0.7954035874439462,19.94621467590332,0.4628712871287129,404,212,0.32522522522522523,0.3018867924528302
deploy,normalized,3,6.338,0.788396860986547,17.607667922973633,0.5024752475247525,404,212,0.2547297297297298,0.33490566037735847
deploy,mondrian,3,6.338,0.8032511210762332,20.44951629638672,0.49257425742574257,404,212,0.2857142857142857,0.3160377358490566
deploy,split,4,6.796,0.8177976634352473,23.39246940612793,0.4838709677419355,372,233,0.45594405594405596,0.24892703862660945
deploy,normalized,4,6.796,0.7946805866268953,19.736591339111328,0.46774193548387094,372,233,0.38461538461538464,0.2875536480686695
deploy,mondrian,4,6.796,0.8287347750434999,23.605453491210938,0.5268817204301075,372,233,0.4552706552706553,0.26180257510729615
