config,grouped,random,gap_K,inflacion_pct
"publicado(d10,lr.05,n300)",6.16977548244124,3.9146463900614337,2.2551290923798066,57.60747887996127
"d6,lr.05,n300",6.428112310090518,4.614709778080106,1.8134025320104126,39.2961338679213
"d6,lr.05,n300,mcw10,l2=5",6.465205689543835,4.7270884152079695,1.738117274335865,36.7692990201749
"d4,lr.1,n300",6.820937937758125,5.147890017263471,1.6730479204946542,32.4996826832757
