celda,umbral,umbral_codigo,featurizacion,top100_mean,top100_std,folds,grupos,scaler,procedencia
train_fold|matminer_live,percentil 90 del fold de ENTRENAMIENTO,"np.percentile(y[tr],90)",matminer en vivo (datasetB_pipeline.featurize),0.852,0.05912698199637795,"[0.9, 0.74, 0.9, 0.87, 0.85]",npz['groups'] contiguo (factorize POST-mascara Tc>0) - IDENTICO en las 4 celdas,no,"results_v2/_top100_harness.py::top100_folds_both_thresholds; Dataset B; XGBoost datasetB_pipeline.make_models(42) n_est=300,depth=10,lr=0.05; GroupKFold(5) MISMOS folds en las 4 celdas; un solo fit por fold evaluado con ambos umbrales; K=100; seed=42; python3.13/xgboost3.0.5/sklearn1.7.2/numpy2.3.3/matminer0.9.2; env=supercon-repro; arm64-Darwin; 2026-08-21T17:43:07"
full|matminer_live,percentil 90 del DATASET COMPLETO,"np.percentile(y,90)",matminer en vivo (datasetB_pipeline.featurize),0.8480000000000001,0.0530659966456864,"[0.9, 0.75, 0.85, 0.89, 0.85]",npz['groups'] contiguo (factorize POST-mascara Tc>0) - IDENTICO en las 4 celdas,no,"results_v2/_top100_harness.py::top100_folds_both_thresholds; Dataset B; XGBoost datasetB_pipeline.make_models(42) n_est=300,depth=10,lr=0.05; GroupKFold(5) MISMOS folds en las 4 celdas; un solo fit por fold evaluado con ambos umbrales; K=100; seed=42; python3.13/xgboost3.0.5/sklearn1.7.2/numpy2.3.3/matminer0.9.2; env=supercon-repro; arm64-Darwin; 2026-08-21T17:43:07"
train_fold|npz_distribuido,percentil 90 del fold de ENTRENAMIENTO,"np.percentile(y[tr],90)",data/datasetB_featurized.npz,0.852,0.05912698199637795,"[0.9, 0.74, 0.9, 0.87, 0.85]",npz['groups'] contiguo (factorize POST-mascara Tc>0) - IDENTICO en las 4 celdas,no,"results_v2/_top100_harness.py::top100_folds_both_thresholds; Dataset B; XGBoost datasetB_pipeline.make_models(42) n_est=300,depth=10,lr=0.05; GroupKFold(5) MISMOS folds en las 4 celdas; un solo fit por fold evaluado con ambos umbrales; K=100; seed=42; python3.13/xgboost3.0.5/sklearn1.7.2/numpy2.3.3/matminer0.9.2; env=supercon-repro; arm64-Darwin; 2026-08-21T17:43:07"
full|npz_distribuido,percentil 90 del DATASET COMPLETO,"np.percentile(y,90)",data/datasetB_featurized.npz,0.8480000000000001,0.0530659966456864,"[0.9, 0.75, 0.85, 0.89, 0.85]",npz['groups'] contiguo (factorize POST-mascara Tc>0) - IDENTICO en las 4 celdas,no,"results_v2/_top100_harness.py::top100_folds_both_thresholds; Dataset B; XGBoost datasetB_pipeline.make_models(42) n_est=300,depth=10,lr=0.05; GroupKFold(5) MISMOS folds en las 4 celdas; un solo fit por fold evaluado con ambos umbrales; K=100; seed=42; python3.13/xgboost3.0.5/sklearn1.7.2/numpy2.3.3/matminer0.9.2; env=supercon-repro; arm64-Darwin; 2026-08-21T17:43:07"
CONTROL:contiguo_npz|full|scaler_NO,percentil 90 del DATASET COMPLETO,"np.percentile(y,90)",data/datasetB_featurized.npz,0.8480000000000001,0.0530659966456864,"[0.9, 0.75, 0.85, 0.89, 0.85]",npz['groups'] contiguo 0..3062,no,"CONTROL fuera del 2x2: aisla el 3er y 4to factor oculto (etiquetado de grupos y StandardScaler). Mismo XGBoost B, K=100, seed=42; python3.13/xgboost3.0.5/sklearn1.7.2/numpy2.3.3/matminer0.9.2; env=supercon-repro; arm64-Darwin; 2026-08-21T17:43:07"
CONTROL:contiguo_npz|full|scaler_SI,percentil 90 del DATASET COMPLETO,"np.percentile(y,90)",data/datasetB_featurized.npz,0.834,0.068,"[0.92, 0.74, 0.77, 0.86, 0.88]",npz['groups'] contiguo 0..3062,"si (StandardScaler por fold, como null_model_analysis)","CONTROL fuera del 2x2: aisla el 3er y 4to factor oculto (etiquetado de grupos y StandardScaler). Mismo XGBoost B, K=100, seed=42; python3.13/xgboost3.0.5/sklearn1.7.2/numpy2.3.3/matminer0.9.2; env=supercon-repro; arm64-Darwin; 2026-08-21T17:43:07"
CONTROL:contiguo_npz|train_fold|scaler_NO,percentil 90 del fold de ENTRENAMIENTO,"np.percentile(y[tr],90)",data/datasetB_featurized.npz,0.852,0.05912698199637795,"[0.9, 0.74, 0.9, 0.87, 0.85]",npz['groups'] contiguo 0..3062,no,"CONTROL fuera del 2x2: aisla el 3er y 4to factor oculto (etiquetado de grupos y StandardScaler). Mismo XGBoost B, K=100, seed=42; python3.13/xgboost3.0.5/sklearn1.7.2/numpy2.3.3/matminer0.9.2; env=supercon-repro; arm64-Darwin; 2026-08-21T17:43:07"
CONTROL:contiguo_npz|train_fold|scaler_SI,percentil 90 del fold de ENTRENAMIENTO,"np.percentile(y[tr],90)",data/datasetB_featurized.npz,0.8379999999999999,0.06400000000000002,"[0.92, 0.73, 0.82, 0.84, 0.88]",npz['groups'] contiguo 0..3062,"si (StandardScaler por fold, como null_model_analysis)","CONTROL fuera del 2x2: aisla el 3er y 4to factor oculto (etiquetado de grupos y StandardScaler). Mismo XGBoost B, K=100, seed=42; python3.13/xgboost3.0.5/sklearn1.7.2/numpy2.3.3/matminer0.9.2; env=supercon-repro; arm64-Darwin; 2026-08-21T17:43:07"
CONTROL:gapped_live|full|scaler_NO,percentil 90 del DATASET COMPLETO,"np.percentile(y,90)",matminer en vivo,0.8480000000000001,0.0530659966456864,"[0.77, 0.81, 0.85, 0.91, 0.9]","etiquetas CON HUECOS 0..4189 (factorize PRE-mascara, como datasetB_pipeline.featurize)",no,"CONTROL fuera del 2x2: aisla el 3er y 4to factor oculto (etiquetado de grupos y StandardScaler). Mismo XGBoost B, K=100, seed=42; python3.13/xgboost3.0.5/sklearn1.7.2/numpy2.3.3/matminer0.9.2; env=supercon-repro; arm64-Darwin; 2026-08-21T17:43:07"
CONTROL:gapped_live|full|scaler_SI,percentil 90 del DATASET COMPLETO,"np.percentile(y,90)",matminer en vivo,0.8459999999999999,0.07172168430816442,"[0.74, 0.79, 0.89, 0.94, 0.87]","etiquetas CON HUECOS 0..4189 (factorize PRE-mascara, como datasetB_pipeline.featurize)","si (StandardScaler por fold, como null_model_analysis)","CONTROL fuera del 2x2: aisla el 3er y 4to factor oculto (etiquetado de grupos y StandardScaler). Mismo XGBoost B, K=100, seed=42; python3.13/xgboost3.0.5/sklearn1.7.2/numpy2.3.3/matminer0.9.2; env=supercon-repro; arm64-Darwin; 2026-08-21T17:43:07"
CONTROL:gapped_live|train_fold|scaler_NO,percentil 90 del fold de ENTRENAMIENTO,"np.percentile(y[tr],90)",matminer en vivo,0.8360000000000001,0.068,"[0.73, 0.79, 0.85, 0.91, 0.9]","etiquetas CON HUECOS 0..4189 (factorize PRE-mascara, como datasetB_pipeline.featurize)",no,"CONTROL fuera del 2x2: aisla el 3er y 4to factor oculto (etiquetado de grupos y StandardScaler). Mismo XGBoost B, K=100, seed=42; python3.13/xgboost3.0.5/sklearn1.7.2/numpy2.3.3/matminer0.9.2; env=supercon-repro; arm64-Darwin; 2026-08-21T17:43:07"
CONTROL:gapped_live|train_fold|scaler_SI,percentil 90 del fold de ENTRENAMIENTO,"np.percentile(y[tr],90)",matminer en vivo,0.8379999999999999,0.084,"[0.72, 0.76, 0.9, 0.94, 0.87]","etiquetas CON HUECOS 0..4189 (factorize PRE-mascara, como datasetB_pipeline.featurize)","si (StandardScaler por fold, como null_model_analysis)","CONTROL fuera del 2x2: aisla el 3er y 4to factor oculto (etiquetado de grupos y StandardScaler). Mismo XGBoost B, K=100, seed=42; python3.13/xgboost3.0.5/sklearn1.7.2/numpy2.3.3/matminer0.9.2; env=supercon-repro; arm64-Darwin; 2026-08-21T17:43:07"
