dataset,N,k,m_bar,m0_searle,ICC,eta2,deff_mbar,deff_searle,N_eff_mbar,N_eff_searle,razon_contra_k,razon_contra_k_mbar,razon_contra_k_searle,MSB,MSW,SS_total,SS_within,SS_between,max_family_size,n_singleton_families,pct_rows_in_largest_family,eta2_tipo,procedencia
A,21263,3365,6.318870728083209,6.300049635998021,0.8541116232558317,0.8768540581985712,5.542909311451077,5.526833997938749,3836.072142849756,3847.2297173988045,1.1433074940263905,1.1399917215006703,1.1433074940263905,6502.9021689017745,171.65303714586528,24948008.955022268,3072246.0588366967,21875762.89618557,720,1169,3.386163758641772,"ORACULO (todos los datos, NO es un R2 de CV)","script=results_v2/run_v2_measurements.py | ANOVA de efectos aleatorios de una via, clusters desiguales | m0 de Searle=(N-sum(ni^2)/N)/(k-1) | ICC=(MSB-MSW)/(MSB+(m0-1)MSW) | eta2=1-SSW/SStot con media de Tc por familia (oraculo) | deff=1+(m-1)ICC con m in (m_bar, m0) | razon_contra_k usa la variante Searle | grupos=tc_pipeline.chemical_families(unique_m.csv)"
B,12440,3063,4.06137773424747,4.056795991103476,0.8456610552997464,0.8835179846028705,3.5888879254148622,3.5850133236726,3466.254800520688,3470.0010507230345,1.1328766081368054,1.1316535424488046,1.1328766081368054,2955.590517985462,127.24156936874219,10243162.362042181,1193144.1959706955,9050018.166071486,131,1322,1.0530546623794212,"ORACULO (todos los datos, NO es un R2 de CV)","script=results_v2/run_v2_measurements.py | ANOVA de efectos aleatorios de una via, clusters desiguales | m0 de Searle=(N-sum(ni^2)/N)/(k-1) | ICC=(MSB-MSW)/(MSB+(m0-1)MSW) | eta2=1-SSW/SStot con media de Tc por familia (oraculo) | deff=1+(m-1)ICC con m in (m_bar, m0) | razon_contra_k usa la variante Searle | grupos=npz 'groups' (== factorize de '|'.join(sorted(elems)), particion verificada)"
