dataset,MAE_random,MAE_random_lo,MAE_random_hi,MAE_grouped,MAE_grouped_lo,MAE_grouped_hi,inflacion_pct,inflacion_lo,inflacion_hi,fold_grouped_min,fold_grouped_max,n_boot,seed
A,5.230280243629458,5.129115565560595,5.33089498740087,8.31316641925921,8.177992255447796,8.441984894712883,58.94303999072979,55.067549057838264,62.974084626011816,7.272852452658519,8.742586536693773,2000,42
B,3.9146463900614337,3.7944732908123417,4.026082244068003,6.16977548244124,6.006692748533971,6.33317589347989,57.60747887996127,51.39392962347724,63.92553752932634,5.512081389657131,6.446441495336468,2000,42
