dataset,modelo,scheme,seed,fold_MAE_std,fold_MAE_min,fold_MAE_max,fold_MAE_rango,pooled_MAE,procedencia
B,RandomForest,grouped_noshuffle,3,0.4515021218654903,5.632573,6.855303,1.2227300000000003,6.4905575851450905,"agg_tabla2.py + celda de dispersion entre folds | sklearn 1.7.2, xgboost 3.0.5 | fold_MAE = MAE por fold de la CV out-of-fold; fold_std = np.std(ddof=0) de los 5 folds de una corrida; promediado sobre las 5 semillas; modelo = make_models(s) del repo; grupos = familia quimica via pandas.factorize"
B,RandomForest,grouped_noshuffle,4,0.4481522474366944,5.632057,6.893676,1.2616190000000005,6.459417011750189,"agg_tabla2.py + celda de dispersion entre folds | sklearn 1.7.2, xgboost 3.0.5 | fold_MAE = MAE por fold de la CV out-of-fold; fold_std = np.std(ddof=0) de los 5 folds de una corrida; promediado sobre las 5 semillas; modelo = make_models(s) del repo; grupos = familia quimica via pandas.factorize"
A,RandomForest,random_shuffle,0,0.06302436204960753,5.324485,5.481101,0.15661599999999964,5.4014366178179865,"agg_tabla2.py + celda de dispersion entre folds | sklearn 1.7.2, xgboost 3.0.5 | fold_MAE = MAE por fold de la CV out-of-fold; fold_std = np.std(ddof=0) de los 5 folds de una corrida; promediado sobre las 5 semillas; modelo = make_models(s) del repo; grupos = familia quimica via pandas.factorize"
A,RandomForest,random_shuffle,1,0.06513021872218759,5.283729,5.453939,0.17020999999999997,5.412838575458317,"agg_tabla2.py + celda de dispersion entre folds | sklearn 1.7.2, xgboost 3.0.5 | fold_MAE = MAE por fold de la CV out-of-fold; fold_std = np.std(ddof=0) de los 5 folds de una corrida; promediado sobre las 5 semillas; modelo = make_models(s) del repo; grupos = familia quimica via pandas.factorize"
A,RandomForest,random_shuffle,2,0.09168881128382021,5.322659,5.569284,0.24662499999999987,5.400844959389678,"agg_tabla2.py + celda de dispersion entre folds | sklearn 1.7.2, xgboost 3.0.5 | fold_MAE = MAE por fold de la CV out-of-fold; fold_std = np.std(ddof=0) de los 5 folds de una corrida; promediado sobre las 5 semillas; modelo = make_models(s) del repo; grupos = familia quimica via pandas.factorize"
A,RandomForest,random_shuffle,3,0.09180731115635632,5.313862,5.563792,0.24992999999999999,5.3914209386725105,"agg_tabla2.py + celda de dispersion entre folds | sklearn 1.7.2, xgboost 3.0.5 | fold_MAE = MAE por fold de la CV out-of-fold; fold_std = np.std(ddof=0) de los 5 folds de una corrida; promediado sobre las 5 semillas; modelo = make_models(s) del repo; grupos = familia quimica via pandas.factorize"
A,RandomForest,random_shuffle,4,0.1939276396199366,5.168214,5.764614,0.5964,5.42502893937633,"agg_tabla2.py + celda de dispersion entre folds | sklearn 1.7.2, xgboost 3.0.5 | fold_MAE = MAE por fold de la CV out-of-fold; fold_std = np.std(ddof=0) de los 5 folds de una corrida; promediado sobre las 5 semillas; modelo = make_models(s) del repo; grupos = familia quimica via pandas.factorize"
A,RandomForest,grouped_shuffle,0,0.6786029289234168,7.646225,9.530375,1.884149999999999,8.72266703369791,"agg_tabla2.py + celda de dispersion entre folds | sklearn 1.7.2, xgboost 3.0.5 | fold_MAE = MAE por fold de la CV out-of-fold; fold_std = np.std(ddof=0) de los 5 folds de una corrida; promediado sobre las 5 semillas; modelo = make_models(s) del repo; grupos = familia quimica via pandas.factorize"
A,RandomForest,grouped_shuffle,1,0.797866043250018,7.678671,9.97309,2.2944189999999995,8.538546728448456,"agg_tabla2.py + celda de dispersion entre folds | sklearn 1.7.2, xgboost 3.0.5 | fold_MAE = MAE por fold de la CV out-of-fold; fold_std = np.std(ddof=0) de los 5 folds de una corrida; promediado sobre las 5 semillas; modelo = make_models(s) del repo; grupos = familia quimica via pandas.factorize"
A,RandomForest,grouped_shuffle,2,0.7567468390754205,7.392726,9.442781,2.0500550000000004,8.583320346161884,"agg_tabla2.py + celda de dispersion entre folds | sklearn 1.7.2, xgboost 3.0.5 | fold_MAE = MAE por fold de la CV out-of-fold; fold_std = np.std(ddof=0) de los 5 folds de una corrida; promediado sobre las 5 semillas; modelo = make_models(s) del repo; grupos = familia quimica via pandas.factorize"
A,RandomForest,grouped_shuffle,3,0.8461243831611518,7.564751,9.843993,2.279241999999999,8.675409512491346,"agg_tabla2.py + celda de dispersion entre folds | sklearn 1.7.2, xgboost 3.0.5 | fold_MAE = MAE por fold de la CV out-of-fold; fold_std = np.std(ddof=0) de los 5 folds de una corrida; promediado sobre las 5 semillas; modelo = make_models(s) del repo; grupos = familia quimica via pandas.factorize"
A,RandomForest,grouped_shuffle,4,1.3028050775618891,6.859096,10.551819,3.692723,8.602069629518066,"agg_tabla2.py + celda de dispersion entre folds | sklearn 1.7.2, xgboost 3.0.5 | fold_MAE = MAE por fold de la CV out-of-fold; fold_std = np.std(ddof=0) de los 5 folds de una corrida; promediado sobre las 5 semillas; modelo = make_models(s) del repo; grupos = familia quimica via pandas.factorize"
A,RandomForest,grouped_noshuffle,0,0.5694086992853554,7.680374,9.450459,1.7700850000000008,8.69204271850634,"agg_tabla2.py + celda de dispersion entre folds | sklearn 1.7.2, xgboost 3.0.5 | fold_MAE = MAE por fold de la CV out-of-fold; fold_std = np.std(ddof=0) de los 5 folds de una corrida; promediado sobre las 5 semillas; modelo = make_models(s) del repo; grupos = familia quimica via pandas.factorize"
A,RandomForest,grouped_noshuffle,1,0.55417688541057,7.695544,9.398794,1.7032500000000006,8.701686260525431,"agg_tabla2.py + celda de dispersion entre folds | sklearn 1.7.2, xgboost 3.0.5 | fold_MAE = MAE por fold de la CV out-of-fold; fold_std = np.std(ddof=0) de los 5 folds de una corrida; promediado sobre las 5 semillas; modelo = make_models(s) del repo; grupos = familia quimica via pandas.factorize"
A,RandomForest,grouped_noshuffle,2,0.5784860738950941,7.684899,9.489575,1.8046760000000006,8.700988358578298,"agg_tabla2.py + celda de dispersion entre folds | sklearn 1.7.2, xgboost 3.0.5 | fold_MAE = MAE por fold de la CV out-of-fold; fold_std = np.std(ddof=0) de los 5 folds de una corrida; promediado sobre las 5 semillas; modelo = make_models(s) del repo; grupos = familia quimica via pandas.factorize"
A,RandomForest,grouped_noshuffle,3,0.5492346705300387,7.766865,9.493249,1.7263840000000004,8.688217122040525,"agg_tabla2.py + celda de dispersion entre folds | sklearn 1.7.2, xgboost 3.0.5 | fold_MAE = MAE por fold de la CV out-of-fold; fold_std = np.std(ddof=0) de los 5 folds de una corrida; promediado sobre las 5 semillas; modelo = make_models(s) del repo; grupos = familia quimica via pandas.factorize"
A,RandomForest,grouped_noshuffle,4,0.5783858209338816,7.679529,9.481648,1.8021190000000002,8.657225431450893,"agg_tabla2.py + celda de dispersion entre folds | sklearn 1.7.2, xgboost 3.0.5 | fold_MAE = MAE por fold de la CV out-of-fold; fold_std = np.std(ddof=0) de los 5 folds de una corrida; promediado sobre las 5 semillas; modelo = make_models(s) del repo; grupos = familia quimica via pandas.factorize"
A,XGBoost,random_shuffle,0,0.06612082957858312,5.150687,5.353589,0.2029020000000008,5.244508684687907,"agg_tabla2.py + celda de dispersion entre folds | sklearn 1.7.2, xgboost 3.0.5 | fold_MAE = MAE por fold de la CV out-of-fold; fold_std = np.std(ddof=0) de los 5 folds de una corrida; promediado sobre las 5 semillas; modelo = make_models(s) del repo; grupos = familia quimica via pandas.factorize"
A,XGBoost,random_shuffle,1,0.06189739916539313,5.144792,5.31951,0.17471800000000037,5.259698365540374,"agg_tabla2.py + celda de dispersion entre folds | sklearn 1.7.2, xgboost 3.0.5 | fold_MAE = MAE por fold de la CV out-of-fold; fold_std = np.std(ddof=0) de los 5 folds de una corrida; promediado sobre las 5 semillas; modelo = make_models(s) del repo; grupos = familia quimica via pandas.factorize"
A,XGBoost,random_shuffle,2,0.13134507701379597,5.180544,5.5179,0.33735599999999977,5.256582485566527,"agg_tabla2.py + celda de dispersion entre folds | sklearn 1.7.2, xgboost 3.0.5 | fold_MAE = MAE por fold de la CV out-of-fold; fold_std = np.std(ddof=0) de los 5 folds de una corrida; promediado sobre las 5 semillas; modelo = make_models(s) del repo; grupos = familia quimica via pandas.factorize"
A,XGBoost,random_shuffle,3,0.11283928745503502,5.11538,5.443805,0.3284250000000002,5.242753418391815,"agg_tabla2.py + celda de dispersion entre folds | sklearn 1.7.2, xgboost 3.0.5 | fold_MAE = MAE por fold de la CV out-of-fold; fold_std = np.std(ddof=0) de los 5 folds de una corrida; promediado sobre las 5 semillas; modelo = make_models(s) del repo; grupos = familia quimica via pandas.factorize"
A,XGBoost,random_shuffle,4,0.17419902602069856,5.06026,5.581463,0.5212029999999999,5.266219138361794,"agg_tabla2.py + celda de dispersion entre folds | sklearn 1.7.2, xgboost 3.0.5 | fold_MAE = MAE por fold de la CV out-of-fold; fold_std = np.std(ddof=0) de los 5 folds de una corrida; promediado sobre las 5 semillas; modelo = make_models(s) del repo; grupos = familia quimica via pandas.factorize"
A,XGBoost,grouped_shuffle,0,0.723664839698434,6.97123,9.069651,2.098421,8.243445895573993,"agg_tabla2.py + celda de dispersion entre folds | sklearn 1.7.2, xgboost 3.0.5 | fold_MAE = MAE por fold de la CV out-of-fold; fold_std = np.std(ddof=0) de los 5 folds de una corrida; promediado sobre las 5 semillas; modelo = make_models(s) del repo; grupos = familia quimica via pandas.factorize"
A,XGBoost,grouped_shuffle,1,0.5684753283274128,7.340966,9.067184,1.7262179999999994,8.119162370011303,"agg_tabla2.py + celda de dispersion entre folds | sklearn 1.7.2, xgboost 3.0.5 | fold_MAE = MAE por fold de la CV out-of-fold; fold_std = np.std(ddof=0) de los 5 folds de una corrida; promediado sobre las 5 semillas; modelo = make_models(s) del repo; grupos = familia quimica via pandas.factorize"
A,XGBoost,grouped_shuffle,2,0.5373076906364174,7.535127,8.80209,1.2669629999999996,8.261918564553447,"agg_tabla2.py + celda de dispersion entre folds | sklearn 1.7.2, xgboost 3.0.5 | fold_MAE = MAE por fold de la CV out-of-fold; fold_std = np.std(ddof=0) de los 5 folds de una corrida; promediado sobre las 5 semillas; modelo = make_models(s) del repo; grupos = familia quimica via pandas.factorize"
A,XGBoost,grouped_shuffle,3,0.6691077588005091,7.544442,9.2658,1.7213580000000004,8.352498339656334,"agg_tabla2.py + celda de dispersion entre folds | sklearn 1.7.2, xgboost 3.0.5 | fold_MAE = MAE por fold de la CV out-of-fold; fold_std = np.std(ddof=0) de los 5 folds de una corrida; promediado sobre las 5 semillas; modelo = make_models(s) del repo; grupos = familia quimica via pandas.factorize"
A,XGBoost,grouped_shuffle,4,1.151821625739437,6.645773,10.112727,3.4669539999999994,8.230979292472457,"agg_tabla2.py + celda de dispersion entre folds | sklearn 1.7.2, xgboost 3.0.5 | fold_MAE = MAE por fold de la CV out-of-fold; fold_std = np.std(ddof=0) de los 5 folds de una corrida; promediado sobre las 5 semillas; modelo = make_models(s) del repo; grupos = familia quimica via pandas.factorize"
A,XGBoost,grouped_noshuffle,0,0.49870673138725513,7.433091,8.735318,1.3022269999999994,8.421639638946909,"agg_tabla2.py + celda de dispersion entre folds | sklearn 1.7.2, xgboost 3.0.5 | fold_MAE = MAE por fold de la CV out-of-fold; fold_std = np.std(ddof=0) de los 5 folds de una corrida; promediado sobre las 5 semillas; modelo = make_models(s) del repo; grupos = familia quimica via pandas.factorize"
