dataset,config,es_publicada,max_depth,learning_rate,min_child_weight,n_estimators,subsample,colsample_bytree,MAE_random,MAE_grouped,R2_random,R2_grouped,gap_K,inflacion_pct,MAE_random_folds,MAE_grouped_folds,procedencia
A,"d8,lr0.05,mcw10",False,8,0.05,10,300,0.9,0.7,5.368400872588597,8.318585212858805,0.9274460999042926,0.8542200773321788,2.9501843402702077,54.95462075744082,5.2932;5.4614;5.2127;5.4915;5.3833,8.4990;7.4310;8.5445;8.4264;8.6922,"results_v2/run_M4_m2.py | modelo XGBoost; config publicada = make_models(seed)['XGBoost'] importada de code/tc_pipeline.py (A) / code/datasetB_pipeline.py (B); grupos = familia quimica (conjunto de elementos) via pandas.factorize; sklearn 1.7.2, xgboost 3.0.5; n_jobs=8, tree_method=hist | run_grid: rejilla 16 configs (max_depth x lr x min_child_weight, n_estimators=300, subsample/colsample de make_models) + config publicada; random = KFold(5, shuffle=True, rs=42); grouped = GroupKFold(5) determinista; MAE pooled out-of-fold; seed=42"
A,"d8,lr0.1,mcw1",False,8,0.1,1,300,0.9,0.7,5.1489443222982585,8.398325967655003,0.928138156837807,0.8506168818902988,3.2493816453567446,63.10772542800318,5.0739;5.2265;5.0050;5.2983;5.1411,8.4502;7.3679;8.7621;8.6472;8.7645,"results_v2/run_M4_m2.py | modelo XGBoost; config publicada = make_models(seed)['XGBoost'] importada de code/tc_pipeline.py (A) / code/datasetB_pipeline.py (B); grupos = familia quimica (conjunto de elementos) via pandas.factorize; sklearn 1.7.2, xgboost 3.0.5; n_jobs=8, tree_method=hist | run_grid: rejilla 16 configs (max_depth x lr x min_child_weight, n_estimators=300, subsample/colsample de make_models) + config publicada; random = KFold(5, shuffle=True, rs=42); grouped = GroupKFold(5) determinista; MAE pooled out-of-fold; seed=42"
A,"d8,lr0.1,mcw10",False,8,0.1,10,300,0.9,0.7,5.1840549363860955,8.39334600890555,0.9287702909043682,0.8513951547930654,3.209291072519454,61.90696495119923,5.1109;5.2466;5.0434;5.3225;5.1970,8.5558;7.5804;8.6336;8.4492;8.7477,"results_v2/run_M4_m2.py | modelo XGBoost; config publicada = make_models(seed)['XGBoost'] importada de code/tc_pipeline.py (A) / code/datasetB_pipeline.py (B); grupos = familia quimica (conjunto de elementos) via pandas.factorize; sklearn 1.7.2, xgboost 3.0.5; n_jobs=8, tree_method=hist | run_grid: rejilla 16 configs (max_depth x lr x min_child_weight, n_estimators=300, subsample/colsample de make_models) + config publicada; random = KFold(5, shuffle=True, rs=42); grouped = GroupKFold(5) determinista; MAE pooled out-of-fold; seed=42"
A,"d10,lr0.05,mcw1",False,10,0.05,1,300,0.9,0.7,5.054660152807814,8.424549624783436,0.9287055315091262,0.85057329035259,3.3698894719756227,66.66896230607477,4.9065;5.1556;4.9154;5.1875;5.1083,8.5515;7.4099;9.2588;8.2156;8.6871,"results_v2/run_M4_m2.py | modelo XGBoost; config publicada = make_models(seed)['XGBoost'] importada de code/tc_pipeline.py (A) / code/datasetB_pipeline.py (B); grupos = familia quimica (conjunto de elementos) via pandas.factorize; sklearn 1.7.2, xgboost 3.0.5; n_jobs=8, tree_method=hist | run_grid: rejilla 16 configs (max_depth x lr x min_child_weight, n_estimators=300, subsample/colsample de make_models) + config publicada; random = KFold(5, shuffle=True, rs=42); grouped = GroupKFold(5) determinista; MAE pooled out-of-fold; seed=42"
A,"d10,lr0.05,mcw10",False,10,0.05,10,300,0.9,0.7,5.107512843743334,8.346099987723752,0.9297184209403904,0.8534775202759046,3.2385871439804186,63.408301517002826,5.0034;5.1766;4.9700;5.2509;5.1366,8.6540;7.4261;8.9903;8.0862;8.5739,"results_v2/run_M4_m2.py | modelo XGBoost; config publicada = make_models(seed)['XGBoost'] importada de code/tc_pipeline.py (A) / code/datasetB_pipeline.py (B); grupos = familia quimica (conjunto de elementos) via pandas.factorize; sklearn 1.7.2, xgboost 3.0.5; n_jobs=8, tree_method=hist | run_grid: rejilla 16 configs (max_depth x lr x min_child_weight, n_estimators=300, subsample/colsample de make_models) + config publicada; random = KFold(5, shuffle=True, rs=42); grouped = GroupKFold(5) determinista; MAE pooled out-of-fold; seed=42"
A,"d10,lr0.1,mcw1",False,10,0.1,1,300,0.9,0.7,5.049639275860862,8.521172845593716,0.926840531634765,0.8444369927188601,3.4715335697328538,68.74814972087341,4.9272;5.1217;4.9321;5.1705;5.0967,8.7214;7.5343;9.0132;8.4272;8.9099,"results_v2/run_M4_m2.py | modelo XGBoost; config publicada = make_models(seed)['XGBoost'] importada de code/tc_pipeline.py (A) / code/datasetB_pipeline.py (B); grupos = familia quimica (conjunto de elementos) via pandas.factorize; sklearn 1.7.2, xgboost 3.0.5; n_jobs=8, tree_method=hist | run_grid: rejilla 16 configs (max_depth x lr x min_child_weight, n_estimators=300, subsample/colsample de make_models) + config publicada; random = KFold(5, shuffle=True, rs=42); grouped = GroupKFold(5) determinista; MAE pooled out-of-fold; seed=42"
A,"d10,lr0.1,mcw10",False,10,0.1,10,300,0.9,0.7,5.056939468493857,8.306381238175122,0.9287916386780298,0.8534651505465438,3.2494417696812654,64.25708256794833,4.9661;5.0986;4.9563;5.1574;5.1063,8.6313;7.4912;8.5044;8.2457;8.6593,"results_v2/run_M4_m2.py | modelo XGBoost; config publicada = make_models(seed)['XGBoost'] importada de code/tc_pipeline.py (A) / code/datasetB_pipeline.py (B); grupos = familia quimica (conjunto de elementos) via pandas.factorize; sklearn 1.7.2, xgboost 3.0.5; n_jobs=8, tree_method=hist | run_grid: rejilla 16 configs (max_depth x lr x min_child_weight, n_estimators=300, subsample/colsample de make_models) + config publicada; random = KFold(5, shuffle=True, rs=42); grouped = GroupKFold(5) determinista; MAE pooled out-of-fold; seed=42"
B,publicada,True,10,0.05,1,300,0.8,0.8,3.9146463900614337,6.16977548244124,0.928375924043758,0.8533613291770861,2.2551290923798066,57.60747887996127,3.7015;4.0742;3.8706;3.9713;3.9556,6.4398;6.3147;6.4464;6.1359;5.5121,"results_v2/run_M4_m2.py | modelo XGBoost; config publicada = make_models(seed)['XGBoost'] importada de code/tc_pipeline.py (A) / code/datasetB_pipeline.py (B); grupos = familia quimica (conjunto de elementos) via pandas.factorize; sklearn 1.7.2, xgboost 3.0.5; n_jobs=8, tree_method=hist | run_grid: rejilla 16 configs (max_depth x lr x min_child_weight, n_estimators=300, subsample/colsample de make_models) + config publicada; random = KFold(5, shuffle=True, rs=42); grouped = GroupKFold(5) determinista; MAE pooled out-of-fold; seed=42"
B,"d4,lr0.05,mcw1",False,4,0.05,1,300,0.8,0.8,5.715120484623435,7.020496508770178,0.8960181840664834,0.8374526619939869,1.3053760241467423,22.840743736879453,5.5162;5.8504;5.7947;5.6387;5.7756,7.2751;7.3694;7.2533;7.0023;6.2024,"results_v2/run_M4_m2.py | modelo XGBoost; config publicada = make_models(seed)['XGBoost'] importada de code/tc_pipeline.py (A) / code/datasetB_pipeline.py (B); grupos = familia quimica (conjunto de elementos) via pandas.factorize; sklearn 1.7.2, xgboost 3.0.5; n_jobs=8, tree_method=hist | run_grid: rejilla 16 configs (max_depth x lr x min_child_weight, n_estimators=300, subsample/colsample de make_models) + config publicada; random = KFold(5, shuffle=True, rs=42); grouped = GroupKFold(5) determinista; MAE pooled out-of-fold; seed=42"
B,"d4,lr0.05,mcw10",False,4,0.05,10,300,0.8,0.8,5.738188314476853,7.035611306805182,0.8942647668405962,0.8350556100021783,1.2974229923283298,22.610324395507654,5.4775;5.9541;5.7729;5.6835;5.8029,7.2961;7.3634;7.2750;7.0497;6.1939,"results_v2/run_M4_m2.py | modelo XGBoost; config publicada = make_models(seed)['XGBoost'] importada de code/tc_pipeline.py (A) / code/datasetB_pipeline.py (B); grupos = familia quimica (conjunto de elementos) via pandas.factorize; sklearn 1.7.2, xgboost 3.0.5; n_jobs=8, tree_method=hist | run_grid: rejilla 16 configs (max_depth x lr x min_child_weight, n_estimators=300, subsample/colsample de make_models) + config publicada; random = KFold(5, shuffle=True, rs=42); grouped = GroupKFold(5) determinista; MAE pooled out-of-fold; seed=42"
B,"d4,lr0.1,mcw1",False,4,0.1,1,300,0.8,0.8,5.147890017263471,6.820937937758125,0.9100100277376426,0.8408067780454829,1.6730479204946542,32.4996826832757,4.9412;5.3170;5.1220;5.1940;5.1652,6.9879;7.0748;7.0577;6.9022;6.0821,"results_v2/run_M4_m2.py | modelo XGBoost; config publicada = make_models(seed)['XGBoost'] importada de code/tc_pipeline.py (A) / code/datasetB_pipeline.py (B); grupos = familia quimica (conjunto de elementos) via pandas.factorize; sklearn 1.7.2, xgboost 3.0.5; n_jobs=8, tree_method=hist | run_grid: rejilla 16 configs (max_depth x lr x min_child_weight, n_estimators=300, subsample/colsample de make_models) + config publicada; random = KFold(5, shuffle=True, rs=42); grouped = GroupKFold(5) determinista; MAE pooled out-of-fold; seed=42"
B,"d4,lr0.1,mcw10",False,4,0.1,10,300,0.8,0.8,5.175070041002826,6.820420907543019,0.9089714193100126,0.8403929837116471,1.645350866540193,31.793789330460086,4.9573;5.3513;5.1788;5.2138;5.1742,6.9311;7.0993;7.1107;6.9343;6.0266,"results_v2/run_M4_m2.py | modelo XGBoost; config publicada = make_models(seed)['XGBoost'] importada de code/tc_pipeline.py (A) / code/datasetB_pipeline.py (B); grupos = familia quimica (conjunto de elementos) via pandas.factorize; sklearn 1.7.2, xgboost 3.0.5; n_jobs=8, tree_method=hist | run_grid: rejilla 16 configs (max_depth x lr x min_child_weight, n_estimators=300, subsample/colsample de make_models) + config publicada; random = KFold(5, shuffle=True, rs=42); grouped = GroupKFold(5) determinista; MAE pooled out-of-fold; seed=42"
B,"d6,lr0.05,mcw1",False,6,0.05,1,300,0.8,0.8,4.614709778080106,6.428112310090518,0.9207571767986785,0.8515877361449953,1.8134025320104126,39.2961338679213,4.3583;4.7846;4.6604;4.6739;4.5963,6.6474;6.6544;6.7300;6.3782;5.7305,"results_v2/run_M4_m2.py | modelo XGBoost; config publicada = make_models(seed)['XGBoost'] importada de code/tc_pipeline.py (A) / code/datasetB_pipeline.py (B); grupos = familia quimica (conjunto de elementos) via pandas.factorize; sklearn 1.7.2, xgboost 3.0.5; n_jobs=8, tree_method=hist | run_grid: rejilla 16 configs (max_depth x lr x min_child_weight, n_estimators=300, subsample/colsample de make_models) + config publicada; random = KFold(5, shuffle=True, rs=42); grouped = GroupKFold(5) determinista; MAE pooled out-of-fold; seed=42"
B,"d6,lr0.05,mcw10",False,6,0.05,10,300,0.8,0.8,4.6801969382573745,6.4734799526970574,0.9190626277794438,0.8506395574598307,1.793283014439683,38.31640074332843,4.4589;4.8615;4.7410;4.6946;4.6450,6.6304;6.7242;6.7147;6.5369;5.7612,"results_v2/run_M4_m2.py | modelo XGBoost; config publicada = make_models(seed)['XGBoost'] importada de code/tc_pipeline.py (A) / code/datasetB_pipeline.py (B); grupos = familia quimica (conjunto de elementos) via pandas.factorize; sklearn 1.7.2, xgboost 3.0.5; n_jobs=8, tree_method=hist | run_grid: rejilla 16 configs (max_depth x lr x min_child_weight, n_estimators=300, subsample/colsample de make_models) + config publicada; random = KFold(5, shuffle=True, rs=42); grouped = GroupKFold(5) determinista; MAE pooled out-of-fold; seed=42"
B,"d6,lr0.1,mcw1",False,6,0.1,1,300,0.8,0.8,4.32894577640239,6.3358008799354515,0.923854400569541,0.85344243076193,2.006855103533061,46.35897992699913,4.1084;4.4610;4.3450;4.3536;4.3767,6.5580;6.5077;6.5602;6.2814;5.7717,"results_v2/run_M4_m2.py | modelo XGBoost; config publicada = make_models(seed)['XGBoost'] importada de code/tc_pipeline.py (A) / code/datasetB_pipeline.py (B); grupos = familia quimica (conjunto de elementos) via pandas.factorize; sklearn 1.7.2, xgboost 3.0.5; n_jobs=8, tree_method=hist | run_grid: rejilla 16 configs (max_depth x lr x min_child_weight, n_estimators=300, subsample/colsample de make_models) + config publicada; random = KFold(5, shuffle=True, rs=42); grouped = GroupKFold(5) determinista; MAE pooled out-of-fold; seed=42"
B,"d6,lr0.1,mcw10",False,6,0.1,10,300,0.8,0.8,4.420687376363708,6.44312487302867,0.9225047601818511,0.8483575764901277,2.0224374966649616,45.749389732429854,4.2221;4.5995;4.4690;4.4484;4.3643,6.6414;6.7457;6.5916;6.4569;5.7799,"results_v2/run_M4_m2.py | modelo XGBoost; config publicada = make_models(seed)['XGBoost'] importada de code/tc_pipeline.py (A) / code/datasetB_pipeline.py (B); grupos = familia quimica (conjunto de elementos) via pandas.factorize; sklearn 1.7.2, xgboost 3.0.5; n_jobs=8, tree_method=hist | run_grid: rejilla 16 configs (max_depth x lr x min_child_weight, n_estimators=300, subsample/colsample de make_models) + config publicada; random = KFold(5, shuffle=True, rs=42); grouped = GroupKFold(5) determinista; MAE pooled out-of-fold; seed=42"
B,"d8,lr0.05,mcw1",False,8,0.05,1,300,0.8,0.8,4.099543549743919,6.210426520605043,0.9273947952680344,0.8555187276107932,2.110882970861123,51.490682932078634,3.9157;4.2242;4.0662;4.1461;4.1455,6.4817;6.3683;6.5405;6.0978;5.5639,"results_v2/run_M4_m2.py | modelo XGBoost; config publicada = make_models(seed)['XGBoost'] importada de code/tc_pipeline.py (A) / code/datasetB_pipeline.py (B); grupos = familia quimica (conjunto de elementos) via pandas.factorize; sklearn 1.7.2, xgboost 3.0.5; n_jobs=8, tree_method=hist | run_grid: rejilla 16 configs (max_depth x lr x min_child_weight, n_estimators=300, subsample/colsample de make_models) + config publicada; random = KFold(5, shuffle=True, rs=42); grouped = GroupKFold(5) determinista; MAE pooled out-of-fold; seed=42"
B,"d8,lr0.05,mcw10",False,8,0.05,10,300,0.8,0.8,4.27240983270497,6.257253401577849,0.9249950286498183,0.8554606849121745,1.9848435688728783,46.45723717043839,4.0566;4.4741;4.2776;4.2887;4.2650,6.4725;6.4453;6.4922;6.2745;5.6018,"results_v2/run_M4_m2.py | modelo XGBoost; config publicada = make_models(seed)['XGBoost'] importada de code/tc_pipeline.py (A) / code/datasetB_pipeline.py (B); grupos = familia quimica (conjunto de elementos) via pandas.factorize; sklearn 1.7.2, xgboost 3.0.5; n_jobs=8, tree_method=hist | run_grid: rejilla 16 configs (max_depth x lr x min_child_weight, n_estimators=300, subsample/colsample de make_models) + config publicada; random = KFold(5, shuffle=True, rs=42); grouped = GroupKFold(5) determinista; MAE pooled out-of-fold; seed=42"
B,"d8,lr0.1,mcw1",False,8,0.1,1,300,0.8,0.8,4.0267408959465145,6.181214636093732,0.9260791229626135,0.853898875737798,2.1544737401472176,53.50415623503366,3.8188;4.1773;4.0314;4.0984;4.0077,6.4078;6.3824;6.4672;6.1064;5.5423,"results_v2/run_M4_m2.py | modelo XGBoost; config publicada = make_models(seed)['XGBoost'] importada de code/tc_pipeline.py (A) / code/datasetB_pipeline.py (B); grupos = familia quimica (conjunto de elementos) via pandas.factorize; sklearn 1.7.2, xgboost 3.0.5; n_jobs=8, tree_method=hist | run_grid: rejilla 16 configs (max_depth x lr x min_child_weight, n_estimators=300, subsample/colsample de make_models) + config publicada; random = KFold(5, shuffle=True, rs=42); grouped = GroupKFold(5) determinista; MAE pooled out-of-fold; seed=42"
B,"d8,lr0.1,mcw10",False,8,0.1,10,300,0.8,0.8,4.1197662691519,6.343610020557501,0.9261211737914685,0.8473526669688473,2.2238437514056004,53.97985240224328,3.8742;4.2928;4.1379;4.2005;4.0934,6.4483;6.4841;6.5264;6.6322;5.6271,"results_v2/run_M4_m2.py | modelo XGBoost; config publicada = make_models(seed)['XGBoost'] importada de code/tc_pipeline.py (A) / code/datasetB_pipeline.py (B); grupos = familia quimica (conjunto de elementos) via pandas.factorize; sklearn 1.7.2, xgboost 3.0.5; n_jobs=8, tree_method=hist | run_grid: rejilla 16 configs (max_depth x lr x min_child_weight, n_estimators=300, subsample/colsample de make_models) + config publicada; random = KFold(5, shuffle=True, rs=42); grouped = GroupKFold(5) determinista; MAE pooled out-of-fold; seed=42"
B,"d10,lr0.05,mcw1",False,10,0.05,1,300,0.8,0.8,3.9146463900614337,6.16977548244124,0.928375924043758,0.8533613291770861,2.2551290923798066,57.60747887996127,3.7015;4.0742;3.8706;3.9713;3.9556,6.4398;6.3147;6.4464;6.1359;5.5121,"results_v2/run_M4_m2.py | modelo XGBoost; config publicada = make_models(seed)['XGBoost'] importada de code/tc_pipeline.py (A) / code/datasetB_pipeline.py (B); grupos = familia quimica (conjunto de elementos) via pandas.factorize; sklearn 1.7.2, xgboost 3.0.5; n_jobs=8, tree_method=hist | run_grid: rejilla 16 configs (max_depth x lr x min_child_weight, n_estimators=300, subsample/colsample de make_models) + config publicada; random = KFold(5, shuffle=True, rs=42); grouped = GroupKFold(5) determinista; MAE pooled out-of-fold; seed=42"
B,"d10,lr0.05,mcw10",False,10,0.05,10,300,0.8,0.8,4.066172565503345,6.197781537316914,0.9279266549874564,0.8530302108013283,2.1316089718135682,52.42298346847707,3.8443;4.2655;4.0365;4.1416;4.0431,6.3507;6.3128;6.4291;6.3426;5.5537,"results_v2/run_M4_m2.py | modelo XGBoost; config publicada = make_models(seed)['XGBoost'] importada de code/tc_pipeline.py (A) / code/datasetB_pipeline.py (B); grupos = familia quimica (conjunto de elementos) via pandas.factorize; sklearn 1.7.2, xgboost 3.0.5; n_jobs=8, tree_method=hist | run_grid: rejilla 16 configs (max_depth x lr x min_child_weight, n_estimators=300, subsample/colsample de make_models) + config publicada; random = KFold(5, shuffle=True, rs=42); grouped = GroupKFold(5) determinista; MAE pooled out-of-fold; seed=42"
B,"d10,lr0.1,mcw1",False,10,0.1,1,300,0.8,0.8,3.8694473381554224,6.217280311146911,0.9279372216378518,0.8493630988773176,2.347832972991488,60.67618364618208,3.6109;4.0461;3.8564;3.9755;3.8584,6.4508;6.2866;6.5400;6.1944;5.6146,"results_v2/run_M4_m2.py | modelo XGBoost; config publicada = make_models(seed)['XGBoost'] importada de code/tc_pipeline.py (A) / code/datasetB_pipeline.py (B); grupos = familia quimica (conjunto de elementos) via pandas.factorize; sklearn 1.7.2, xgboost 3.0.5; n_jobs=8, tree_method=hist | run_grid: rejilla 16 configs (max_depth x lr x min_child_weight, n_estimators=300, subsample/colsample de make_models) + config publicada; random = KFold(5, shuffle=True, rs=42); grouped = GroupKFold(5) determinista; MAE pooled out-of-fold; seed=42"
B,"d10,lr0.1,mcw10",False,10,0.1,10,300,0.8,0.8,3.986063329764576,6.310255140648626,0.9276935914916405,0.8458968565496614,2.32419181088405,58.307949939704564,3.8028;4.1263;3.9704;4.0607;3.9701,6.5158;6.5371;6.4424;6.4550;5.6009,"results_v2/run_M4_m2.py | modelo XGBoost; config publicada = make_models(seed)['XGBoost'] importada de code/tc_pipeline.py (A) / code/datasetB_pipeline.py (B); grupos = familia quimica (conjunto de elementos) via pandas.factorize; sklearn 1.7.2, xgboost 3.0.5; n_jobs=8, tree_method=hist | run_grid: rejilla 16 configs (max_depth x lr x min_child_weight, n_estimators=300, subsample/colsample de make_models) + config publicada; random = KFold(5, shuffle=True, rs=42); grouped = GroupKFold(5) determinista; MAE pooled out-of-fold; seed=42"
