dataset,modelo,std_MAE_grouped_pub,std_MAE_grouped_noshuffle,std_MAE_grouped_shuffle,factor_vs_noshuffle,factor_vs_pub,std_infl_pub,std_infl_noshuffle,std_infl_shuffle,factor_infl_vs_noshuffle,std_dR2_noshuffle,std_dR2_shuffle,factor_dR2
A,RandomForest,0.07,0.016244819832680307,0.06605353568538144,4.0661291639873465,0.9436219383625919,1,0.5784791397849048,1.4300135901581739,2.4720227434474022,0.0009626262387637299,0.0024333622951263354,2.5278370743887315
A,XGBoost,0.1,0.07252663458630897,0.07459016797965626,1.0284520770213268,0.7459016797965625,2,1.3164211563851198,1.597973968020419,1.2138774587977912,0.0028490464580915656,0.002973051279106475,1.043525025947795
B,RandomForest,0.03,0.013561571799195671,0.018273473368099848,1.347445092550676,0.6091157789366616,1,0.5944295209841644,0.5600853639308342,0.9422233320504196,0.0015957477885343155,0.0018829693428956023,1.179991823535659
B,XGBoost,0.05,0.02866607983428137,0.04471461463458905,1.5598440698234384,0.8942922926917809,2,0.6714902962111042,0.5070588359724044,0.7551245920209015,0.0016889461304579643,0.001727444335441614,1.0227942172277638
